Zone,Année,Valeur
Costa Rica,2015,4848
Costa Rica,2019,5048
Côte d'Ivoire,2015,23226
Côte d'Ivoire,2019,25717
Croatie,2015,4233
Croatie,2019,4130
Cuba,2015,11325
Cuba,2019,11333
Danemark,2015,5689
Danemark,2019,5772
Djibouti,2015,914
Djibouti,2019,974
Dominique,2015,71
Dominique,2019,72
Égypte,2015,92443
Égypte,2019,100388
El Salvador,2015,6325
El Salvador,2019,6454
Émirats arabes unis,2015,9262.9
Émirats arabes unis,2019,9770.53
Équateur,2015,16212
Équateur,2019,17374
Espagne,2015,46672
Espagne,2019,46737
Estonie,2015,1315
Estonie,2019,1326
Eswatini,2015,1104
Eswatini,2019,1148
États-Unis d'Amérique,2015,320878
États-Unis d'Amérique,2019,329065
Éthiopie,2015,100835
Éthiopie,2019,112079
Éthiopie RDP,2015,
Éthiopie RDP,2019,
Fédération de Russie,2015,144985
Fédération de Russie,2019,145872
Fidji,2015,869
Fidji,2019,890
Finlande,2015,5481
Finlande,2019,5532
France,2015,66356
France,2019,65130
Gabon,2015,1948
Gabon,2019,2173
Gambie,2015,2086
Gambie,2019,2348
Géorgie,2015,4024
Géorgie,2019,3997
Ghana,2015,27849
Ghana,2019,30418
Grèce,2015,10660
Grèce,2019,10473
Grenade,2015,110
Grenade,2019,112
Guatemala,2015,16252
Guatemala,2019,17581
Guinée,2015,11432
Guinée,2019,12771
Guinée-Bissau,2015,1737
Guinée-Bissau,2019,1921
Guyana,2015,767
Guyana,2019,783
Haïti,2015,10696
Haïti,2019,11263
Honduras,2015,9113
Honduras,2019,9746
Hongrie,2015,9778
Hongrie,2019,9685
Îles Salomon,2015,603
Îles Salomon,2019,670
Inde,2015,1310152
Inde,2019,1366418
Indonésie,2015,258383
Indonésie,2019,270626
Iran (République islamique d'),2015,78492
Iran (République islamique d'),2019,82914
Iraq,2015,30511
Iraq,2019,33717
Irlande,2015,4652
Irlande,2019,4882
Islande,2015,330
Islande,2019,339
Israël,2015,7978
Israël,2019,8519
Italie,2015,60578
Italie,2019,60550
Jamaïque,2015,2891
Jamaïque,2019,2948
Japon,2015,127985
Japon,2019,126860
Jordanie,2015,9267
Jordanie,2019,10102
Kazakhstan,2015,17572
Kazakhstan,2019,18551
Kenya,2015,47878
Kenya,2019,52574
Kirghizistan,2015,5959
Kirghizistan,2019,6416
Kiribati,2015,111
Kiribati,2019,118
Koweït,2015,3836
Koweït,2019,4207
Lesotho,2015,2059
Lesotho,2019,2125
Lettonie,2015,1998
Lettonie,2019,1907
Liban,2015,6533
Liban,2019,6856
Libéria,2015,4472
Libéria,2019,4937
Libye,2015,6418
Libye,2019,6777
Lituanie,2015,2932
Lituanie,2019,2760
Luxembourg,2015,567
Luxembourg,2019,616
Macédoine du Nord,2015,2079
Macédoine du Nord,2019,2083
Madagascar,2015,24234
Madagascar,2019,26969
Malaisie,2015,30271
Malaisie,2019,31950
Malawi,2015,16745
Malawi,2019,18629
Maldives,2015,455
Maldives,2019,531
Mali,2015,17439
Mali,2019,19658
Malte,2015,434
Malte,2019,440
Maroc,2015,34664
Maroc,2019,36472
Maurice,2015,1259
Maurice,2019,1270
Mauritanie,2015,4046
Mauritanie,2019,4526
Mexique,2015,121858
Mexique,2019,127576
Mongolie,2015,2998
Mongolie,2019,3225
Monténégro,2015,627
Monténégro,2019,628
Mozambique,2015,27042
Mozambique,2019,30366
Myanmar,2015,52681
Myanmar,2019,54045
Namibie,2015,2315
Namibie,2019,2495
Népal,2015,27015
Népal,2019,28609
Nicaragua,2015,6223
Nicaragua,2019,6546
Niger,2015,20002
Niger,2019,23311
Nigéria,2015,181137
Nigéria,2019,200964
Norvège,2015,5200
Norvège,2019,5379
Nouvelle-Calédonie,2015,271
Nouvelle-Calédonie,2019,283
Nouvelle-Zélande,2015,4615
Nouvelle-Zélande,2019,4783
Oman,2015,4267
Oman,2019,4975
Ouganda,2015,38225
Ouganda,2019,44270
Ouzbékistan,2015,30930
Ouzbékistan,2019,32982
Pakistan,2015,199427
Pakistan,2019,216565
Panama,2015,3968
Panama,2019,4246
Papouasie-Nouvelle-Guinée,2015,8108
Papouasie-Nouvelle-Guinée,2019,8776
Paraguay,2015,6689
Paraguay,2019,7045
Pays-Bas,2015,16938
Pays-Bas,2019,17097
Pérou,2015,30471
Pérou,2019,32510
Philippines,2015,102113
Philippines,2019,108117
Pologne,2015,38034
Pologne,2019,37888
Polynésie française,2015,273
Polynésie française,2019,279
Portugal,2015,10368
Portugal,2019,10226
République arabe syrienne,2015,17997
République arabe syrienne,2019,17070
République centrafricaine,2015,4493
République centrafricaine,2019,4745
République de Corée,2015,50823
République de Corée,2019,51225
République de Moldova,2015,4071
République de Moldova,2019,4043
République démocratique du Congo,2015,76245
République démocratique du Congo,2019,86791
République démocratique populaire lao,2015,6741
République démocratique populaire lao,2019,7169
République dominicaine,2015,10282
République dominicaine,2019,10739
République populaire démocratique de Corée,2015,25184
République populaire démocratique de Corée,2019,25666
République-Unie de Tanzanie,2015,51483
République-Unie de Tanzanie,2019,58005
RFS de Yougoslavie,2015,
RFS de Yougoslavie,2019,
Roumanie,2015,19925
Roumanie,2019,19365
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2015,65860
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2019,67530
Rwanda,2015,11369
Rwanda,2019,12627
Sainte-Lucie,2015,179
Sainte-Lucie,2019,183
Saint-Kitts-et-Nevis,2015,51
Saint-Kitts-et-Nevis,2019,53
Saint-Vincent-et-les Grenadines,2015,109
Saint-Vincent-et-les Grenadines,2019,111
Samoa,2015,194
Samoa,2019,197
Sao Tomé-et-Principe,2015,199
Sao Tomé-et-Principe,2019,215
Sénégal,2015,14578
Sénégal,2019,16296
Serbie,2015,8877
Serbie,2019,8772
Serbie-et-Monténégro,2015,
Serbie-et-Monténégro,2019,
Seychelles,2015,95
Seychelles,2019,98
Sierra Leone,2015,7172
Sierra Leone,2019,7813
Slovaquie,2015,5436
Slovaquie,2019,5457
Slovénie,2015,2071
Slovénie,2019,2079
Soudan,2015,38903
Soudan,2019,42813
Sri Lanka,2015,20908
Sri Lanka,2019,21324
Suède,2015,9765
Suède,2019,10036
Suisse,2015,8297
Suisse,2019,8591
Suriname,2015,559
Suriname,2019,581
Tadjikistan,2015,8454
Tadjikistan,2019,9321
Tchad,2015,14111
Tchad,2019,15947
Tchécoslovaq,2015,
Tchécoslovaq,2019,
Tchéquie,2015,10601
Tchéquie,2019,10689
Thaïlande,2015,68715
Thaïlande,2019,69626
Timor-Leste,2015,1196
Timor-Leste,2019,1293
Togo,2015,7323
Togo,2019,8082
Trinité-et-Tobago,2015,1370
Trinité-et-Tobago,2019,1395
Tunisie,2015,11180
Tunisie,2019,11695
Turkménistan,2015,5565
Turkménistan,2019,5942
Turquie,2015,78529
Turquie,2019,83430
Ukraine,2015,44922
Ukraine,2019,43994
URSS,2015,
URSS,2019,
Uruguay,2015,3412
Uruguay,2019,3462
Vanuatu,2015,271
Vanuatu,2019,300
Venezuela (République bolivarienne du),2015,30082
Venezuela (République bolivarienne du),2019,28516
Viet Nam,2015,92677
Viet Nam,2019,96462
Yémen,2015,26498
Yémen,2019,29162
Zambie,2015,15879
Zambie,2019,17861
Zimbabwe,2015,13815
Zimbabwe,2019,14645
