Zone,Année,Valeur
Palaos,2019,0.86
Palestine,2019,-1.94
Panama,2019,0.31
Papouasie-Nouvelle-Guinée,2019,-0.83
Paraguay,2019,0
Pays-Bas,2019,0.86
Pérou,2019,-0.14
Philippines,2019,-0.88
Pologne,2019,0.52
Polynésie française,2019,
Porto Rico,2019,0.12
Portugal,2019,1.13
Qatar,2019,0.7
République arabe syrienne,2019,-2.73
République centrafricaine,2019,-2.18
République de Corée,2019,0.48
République de Moldova,2019,-0.38
République démocratique du Congo,2019,-1.81
République démocratique populaire lao,2019,0.53
République dominicaine,2019,0.02
République populaire démocratique de Corée,2019,-0.3
République-Unie de Tanzanie,2019,-0.36
Roumanie,2019,0.53
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2019,0.52
Rwanda,2019,0.12
Sainte-Lucie,2019,0.93
Saint-Kitts-et-Nevis,2019,0.73
Saint-Vincent-et-les Grenadines,2019,0.96
Samoa,2019,1.12
Samoa américaines,2019,1.16
Sao Tomé-et-Principe,2019,0.52
Sénégal,2019,0.06
Serbie,2019,-0.09
Seychelles,2019,0.69
Sierra Leone,2019,-0.1
Singapour,2019,1.53
Slovaquie,2019,0.78
Slovénie,2019,0.82
Somalie,2019,-2.38
Soudan,2019,-1.67
Soudan du Sud,2019,-2.56
Sri Lanka,2019,-0.23
Suède,2019,1.05
Suisse,2019,1.34
Suriname,2019,0.11
Tadjikistan,2019,-0.58
Tchad,2019,-1.34
Tchéquie,2019,0.95
Thaïlande,2019,-0.54
Timor-Leste,2019,0.24
Togo,2019,-0.81
Tokélaou,2019,
Tonga,2019,1.12
Trinité-et-Tobago,2019,0.06
Tunisie,2019,-0.83
Turkménistan,2019,-0.09
Turquie,2019,-1.34
Tuvalu,2019,1.2
Ukraine,2019,-1.52
Uruguay,2019,1.05
Vanuatu,2019,1.03
Venezuela (République bolivarienne du),2019,-1.45
Viet Nam,2019,0.13
Yémen,2019,-2.77
Zambie,2019,-0.1
Zimbabwe,2019,-0.92
